Time (decimal days from 0 A.D), Extinction coefficient beta (m^-1), Ice water content of cloud IWC (g m^{-3})
731112.27129877323750406504, 0.00000000000000000000, 0.00000000000000000000
731112.27141451393254101276, 0.00001788457468838118, 0.00018063915515509978
731112.27153025462757796049, 0.00005219661994936557, 0.00065637946414297168
731112.27164599532261490822, 0.00001672229605608495, 0.00019529453953188975
731112.27176173601765185595, 0.00001375337880424054, 0.00012816498209597011
731112.27187747671268880367, 0.00000415527621569833, 0.00003211491576699131
731112.27199321740772575140, 0.00000000000000000000, 0.00000000000000000000
731112.27210895810276269913, 0.00000028239446911524, 0.00000131376794219790
731112.27222469879779964685, 0.00000077746383541033, 0.00000361695137436813
731112.27234043949283659458, 0.00000000000000000000, 0.00000000000000000000
731112.27245618018787354231, 0.00000000000000000000, 0.00000000000000000000
731112.27257192088291049004, 0.00000000000000000000, 0.00000000000000000000
731112.27268766157794743776, 0.00000000000000000000, 0.00000000000000000000
731112.27280340227298438549, 0.00000000000000000000, 0.00000000000000000000
731112.27291914296802133322, 0.00000000000000000000, 0.00000000000000000000
731112.27303488366305828094, 0.00000000000000000000, 0.00000000000000000000
731112.27315062435809522867, 0.00000000000000000000, 0.00000000000000000000
731112.27326636505313217640, 0.00000000000000000000, 0.00000000000000000000
731112.27338210574816912413, 0.00000000000000000000, 0.00000000000000000000
731112.27349784644320607185, 0.00000000000000000000, 0.00000000000000000000
731112.27361358713824301958, 0.00000712560157534424, 0.00008641549912665028
731112.27372932783327996731, 0.00000476799111054981, 0.00007197335014162381
731112.27384506852831691504, 0.00000432897539606610, 0.00003952765022297991
731112.27396080922335386276, 0.00000024237224014626, 0.00000109880050541492
731112.27407654991839081049, 0.00000066477252809409, 0.00000301376258854951
731112.27419229061342775822, 0.00000000000000000000, 0.00000000000000000000
731112.27430803130846470594, 0.00000000000000000000, 0.00000000000000000000
731112.27442377200350165367, 0.00000000000000000000, 0.00000000000000000000
731112.27453951269853860140, 0.00000000000000000000, 0.00000000000000000000
731112.27465525339357554913, 0.00000000000000000000, 0.00000000000000000000
731112.27477099408861249685, 0.00000000000000000000, 0.00000000000000000000
731112.27488673478364944458, 0.00000000000000000000, 0.00000000000000000000
731112.27500247547868639231, 0.00000000000000000000, 0.00000000000000000000
731112.27511821617372334003, 0.00000000000000000000, 0.00000000000000000000
731112.27523395686876028776, 0.00001295067186313014, 0.00010778018208136625
731112.27534969756379723549, 0.00000371395838488192, 0.00003877097487891040
731112.27546543825883418322, 0.00001643549634787995, 0.00015996342803741720
731112.27558117895387113094, 0.00008833226244138356, 0.00137719455016509836
731112.27569691964890807867, 0.00005656232531403625, 0.00062320947019323775
731112.27581266034394502640, 0.00003121256829035932, 0.00028670094931575554
731112.27592840103898197412, 0.00002491178081839186, 0.00026745316850025256
731112.27604414173401892185, 0.00001990302154688525, 0.00028211230845029525
731112.27615988242905586958, 0.00003287163660159042, 0.00034207431952227809
731112.27627562312409281731, 0.00004963107430246110, 0.00059346114913316381
731112.27639136381912976503, 0.00005100449844057231, 0.00058253815806136528
731112.27650710451416671276, 0.00004341690259312521, 0.00046380734655694465
731112.27662284520920366049, 0.00004256593454231238, 0.00039234341080808326
731112.27673858590424060822, 0.00008867165642411724, 0.00070741497813014639
731112.27685432659927755594, 0.00006401769295536633, 0.00076822923062744362
731112.27697006729431450367, 0.00001934840268662175, 0.00017422942367522983
731112.27708580798935145140, 0.00006908035103512227, 0.00081090712267624420
